"term1","term2","cooc"
"resource dilemma","learning",1
"reward","learning",6
"risk","learning",3
"rule","learning",9
"sequentiality","learning",5
"social value orientation","learning",4
"socio-economic status","learning",0
"strategy","learning",35
"structure","learning",9
"threat","learning",6
"time pressure","learning",1
"trust","learning",3
"uncertainty","learning",2
"motivation","moral",17
"norm","moral",16
"partner type","moral",11
"perception","moral",5
"perspective","moral",10
"power","moral",4
"preference","moral",8
"prisoner's dilemma","moral",14
"promise","moral",5
"psychopathology","moral",3
"public goods dilemma","moral",9
"punishment","moral",28
"reciprocity","moral",9
"reputation","moral",1
"resource dilemma","moral",1
"reward","moral",8
"risk","moral",3
"rule","moral",10
"sequentiality","moral",4
"social value orientation","moral",17
"socio-economic status","moral",2
"strategy","moral",17
"structure","moral",5
"threat","moral",4
"time pressure","moral",0
"trust","moral",8
"uncertainty","moral",1
"norm","motivation",44
"partner type","motivation",33
"perception","motivation",18
"perspective","motivation",31
"power","motivation",35
"preference","motivation",31
"prisoner's dilemma","motivation",82
"promise","motivation",10
"psychopathology","motivation",16
"public goods dilemma","motivation",42
"punishment","motivation",71
"reciprocity","motivation",50
"reputation","motivation",5
"resource dilemma","motivation",27
"reward","motivation",31
"risk","motivation",10
"rule","motivation",34
"sequentiality","motivation",30
"social value orientation","motivation",57
"socio-economic status","motivation",21
"strategy","motivation",130
"structure","motivation",39
"threat","motivation",46
"time pressure","motivation",18
"trust","motivation",36
"uncertainty","motivation",12
"partner type","norm",5
"perception","norm",7
"perspective","norm",14
"power","norm",16
"preference","norm",23
"prisoner's dilemma","norm",30
"promise","norm",11
"psychopathology","norm",1
"public goods dilemma","norm",35
"punishment","norm",73
"reciprocity","norm",33
"reputation","norm",7
"resource dilemma","norm",22
"reward","norm",16
"risk","norm",6
"rule","norm",31
"sequentiality","norm",6
"social value orientation","norm",19
"socio-economic status","norm",6
"strategy","norm",56
"structure","norm",8
"threat","norm",26
"time pressure","norm",8
"trust","norm",16
"uncertainty","norm",5
"perception","partner type",6
"perspective","partner type",6
"power","partner type",7
"preference","partner type",15
"prisoner's dilemma","partner type",32
"promise","partner type",0
"psychopathology","partner type",6
"public goods dilemma","partner type",14
"punishment","partner type",32
"reciprocity","partner type",23
"reputation","partner type",8
"resource dilemma","partner type",2
"reward","partner type",8
"risk","partner type",3
"rule","partner type",8
"sequentiality","partner type",10
"social value orientation","partner type",11
"socio-economic status","partner type",6
"strategy","partner type",53
"structure","partner type",15
"threat","partner type",17
"time pressure","partner type",8
"trust","partner type",17
"uncertainty","partner type",0
"perspective","perception",4
"power","perception",5
"preference","perception",9
"prisoner's dilemma","perception",15
"promise","perception",2
"psychopathology","perception",0
"public goods dilemma","perception",6
"punishment","perception",13
"reciprocity","perception",7
"reputation","perception",0
"resource dilemma","perception",7
"reward","perception",6
"risk","perception",0
"rule","perception",5
"sequentiality","perception",2
"social value orientation","perception",4
"socio-economic status","perception",2
"strategy","perception",30
"structure","perception",5
"threat","perception",10
"time pressure","perception",0
"trust","perception",13
"uncertainty","perception",2
"power","perspective",7
"preference","perspective",9
"prisoner's dilemma","perspective",19
"promise","perspective",8
"psychopathology","perspective",3
"public goods dilemma","perspective",16
"punishment","perspective",22
"reciprocity","perspective",15
"reputation","perspective",3
"resource dilemma","perspective",7
"reward","perspective",9
"risk","perspective",3
"rule","perspective",10
"sequentiality","perspective",4
"social value orientation","perspective",8
"socio-economic status","perspective",5
"strategy","perspective",38
"structure","perspective",11
"threat","perspective",8
"time pressure","perspective",2
"trust","perspective",11
"uncertainty","perspective",2
"preference","power",3
"prisoner's dilemma","power",31
"promise","power",7
"psychopathology","power",8
"public goods dilemma","power",18
"punishment","power",38
"reciprocity","power",16
"reputation","power",5
"resource dilemma","power",11
"reward","power",11
"risk","power",2
"rule","power",4
"sequentiality","power",11
"social value orientation","power",12
"socio-economic status","power",3
"strategy","power",48
"structure","power",8
"threat","power",21
"time pressure","power",9
"trust","power",14
"uncertainty","power",2
"prisoner's dilemma","preference",30
"promise","preference",2
"psychopathology","preference",3
"public goods dilemma","preference",45
"punishment","preference",32
"reciprocity","preference",20
"reputation","preference",2
"resource dilemma","preference",8
"reward","preference",11
"risk","preference",17
"rule","preference",8
"sequentiality","preference",16
"social value orientation","preference",20
"socio-economic status","preference",9
"strategy","preference",49
"structure","preference",16
"threat","preference",18
"time pressure","preference",4
"trust","preference",16
"uncertainty","preference",7
"promise","prisoner's dilemma",15
"psychopathology","prisoner's dilemma",11
"public goods dilemma","prisoner's dilemma",16
"punishment","prisoner's dilemma",74
"reciprocity","prisoner's dilemma",40
"reputation","prisoner's dilemma",13
"resource dilemma","prisoner's dilemma",8
"reward","prisoner's dilemma",37
"risk","prisoner's dilemma",16
"rule","prisoner's dilemma",22
"sequentiality","prisoner's dilemma",28
"social value orientation","prisoner's dilemma",34
"socio-economic status","prisoner's dilemma",9
"strategy","prisoner's dilemma",142
"structure","prisoner's dilemma",26
"threat","prisoner's dilemma",42
"time pressure","prisoner's dilemma",17
"trust","prisoner's dilemma",34
"uncertainty","prisoner's dilemma",7
"psychopathology","promise",0
"public goods dilemma","promise",7
"punishment","promise",17
"reciprocity","promise",8
"reputation","promise",0
"resource dilemma","promise",2
"reward","promise",7
"risk","promise",2
"rule","promise",4
"sequentiality","promise",0
"social value orientation","promise",2
"socio-economic status","promise",2
"strategy","promise",11
"structure","promise",4
"threat","promise",9
"time pressure","promise",2
"trust","promise",8
"uncertainty","promise",2
"public goods dilemma","psychopathology",3
"punishment","psychopathology",4
"reciprocity","psychopathology",8
"reputation","psychopathology",0
"resource dilemma","psychopathology",0
"reward","psychopathology",4
"risk","psychopathology",0
"rule","psychopathology",3
"sequentiality","psychopathology",2
"social value orientation","psychopathology",6
"socio-economic status","psychopathology",2
"strategy","psychopathology",12
"structure","psychopathology",5
"threat","psychopathology",7
"time pressure","psychopathology",2
"trust","psychopathology",5
"uncertainty","psychopathology",0
"punishment","public goods dilemma",96
"reciprocity","public goods dilemma",22
"reputation","public goods dilemma",6
"resource dilemma","public goods dilemma",13
"reward","public goods dilemma",22
"risk","public goods dilemma",12
"rule","public goods dilemma",21
"sequentiality","public goods dilemma",16
"social value orientation","public goods dilemma",10
"socio-economic status","public goods dilemma",15
"strategy","public goods dilemma",77
"structure","public goods dilemma",16
"threat","public goods dilemma",30
"time pressure","public goods dilemma",6
"trust","public goods dilemma",16
"uncertainty","public goods dilemma",13
"reciprocity","punishment",51
"reputation","punishment",28
"resource dilemma","punishment",29
"reward","punishment",50
"risk","punishment",12
"rule","punishment",42
"sequentiality","punishment",24
"social value orientation","punishment",47
"socio-economic status","punishment",18
"strategy","punishment",134
"structure","punishment",37
"threat","punishment",67
"time pressure","punishment",18
"trust","punishment",37
"uncertainty","punishment",18
"reputation","reciprocity",14
"resource dilemma","reciprocity",15
"reward","reciprocity",22
"risk","reciprocity",9
"rule","reciprocity",16
"sequentiality","reciprocity",20
"social value orientation","reciprocity",16
"socio-economic status","reciprocity",4
"strategy","reciprocity",57
"structure","reciprocity",16
"threat","reciprocity",21
"time pressure","reciprocity",10
"trust","reciprocity",26
"uncertainty","reciprocity",4
"resource dilemma","reputation",0
"reward","reputation",4
"risk","reputation",1
"rule","reputation",5
"sequentiality","reputation",4
"social value orientation","reputation",4
"socio-economic status","reputation",1
"strategy","reputation",16
"structure","reputation",6
"threat","reputation",2
"time pressure","reputation",2
"trust","reputation",3
"uncertainty","reputation",1
"reward","resource dilemma",6
"risk","resource dilemma",2
"rule","resource dilemma",19
"sequentiality","resource dilemma",5
"social value orientation","resource dilemma",8
"socio-economic status","resource dilemma",8
"strategy","resource dilemma",30
"structure","resource dilemma",9
"threat","resource dilemma",19
"time pressure","resource dilemma",2
"trust","resource dilemma",13
"uncertainty","resource dilemma",15
"risk","reward",4
"rule","reward",14
"sequentiality","reward",15
"social value orientation","reward",4
"socio-economic status","reward",2
"strategy","reward",48
"structure","reward",22
"threat","reward",11
"time pressure","reward",5
"trust","reward",4
"uncertainty","reward",7
"rule","risk",2
"sequentiality","risk",10
"social value orientation","risk",6
"socio-economic status","risk",4
"strategy","risk",21
"structure","risk",4
"threat","risk",6
"time pressure","risk",4
"trust","risk",12
"uncertainty","risk",7
"sequentiality","rule",9
"social value orientation","rule",16
"socio-economic status","rule",4
"strategy","rule",32
"structure","rule",14
"threat","rule",12
"time pressure","rule",5
"trust","rule",12
"uncertainty","rule",9
"social value orientation","sequentiality",8
"socio-economic status","sequentiality",0
"strategy","sequentiality",38
"structure","sequentiality",11
"threat","sequentiality",11
"time pressure","sequentiality",3
"trust","sequentiality",8
"uncertainty","sequentiality",8
"socio-economic status","social value orientation",5
"strategy","social value orientation",37
"structure","social value orientation",7
"threat","social value orientation",13
"time pressure","social value orientation",6
"trust","social value orientation",19
"uncertainty","social value orientation",5
"strategy","socio-economic status",15
"structure","socio-economic status",0
"threat","socio-economic status",8
"time pressure","socio-economic status",2
"trust","socio-economic status",7
"uncertainty","socio-economic status",2
"structure","strategy",49
"threat","strategy",63
"time pressure","strategy",19
"trust","strategy",37
"uncertainty","strategy",21
"threat","structure",17
"time pressure","structure",8
"trust","structure",11
"uncertainty","structure",3
"time pressure","threat",6
"trust","threat",17
"uncertainty","threat",12
"trust","time pressure",7
"uncertainty","time pressure",2
"uncertainty","trust",2
